[2025 Júl  1 Ked 10:20:23 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:45 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:46 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:47 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:48 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:49 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:50 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:52 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:53 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:54 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:55 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:56 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:57 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:58 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:59 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:00 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:01 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:02 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:03 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:05 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:06 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:07 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:08 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:09 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:10 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:11 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:12 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:13 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:14 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:15 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:16 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:17 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:18 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:20 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:21 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:22 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:23 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:24 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:25 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:26 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:51 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:52 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:54 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:55 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:56 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:57 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:58 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:22:59 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:00 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:01 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:02 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:03 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:04 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:05 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:06 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:07 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:09 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:10 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:11 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:12 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:13 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:14 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:15 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:16 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:17 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:18 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:19 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:20 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:21 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:23 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:24 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:25 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:26 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:27 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:28 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:29 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:23:30 CEST]
<Envelope>OK</Envelope>
